"Flieger Kurven","Hanschmann","7b",230
"Flieger Marsch","Dostal","8",26
"Floral Dance","Treves","7b",256
"Florentiner Marsch","Fucik","8",24
"Folies Bergères","Linke","9",95
"Folk Song Medley","Hartnig","11",117
"Four Contrasts for Wind","Ford","10b",157
"Franz Grothe Erfolge","Löffler","11",119
"Franz von Suppé","Löffler","5",213
"Frei Weg","Latan","8",22
"Freundschaftsmarsch","Zeh","8",23
"Frieden und Freiheit","Blankenburg","9",88
"Frohsinn am laufenden Band","Kernbach","11",94
"Frühling in der Toskana","Winkler","7b",231
"Fünf Minuten Cole Porter","Porter","11",114
"Für unsere Kameraden","Rundel","15",26
"Galanterie","Borchert","7b",232
"Ganz allerliebst","Waldteufel","6",205
"Geburtstagsmarsch","Kühne","8",33
"Geheimnisse der Etsch","Carena","6",206
"George Gershwin in Concert","Pfortner","7b",262
"Germania","Keil","8",35
"Glenn Miller Story","Meinheld","11",121
"Glück auf","Wichers","9",101
"Glühwürmchen-Idyll","Linke","7b",233
"Götterfunken","Rumohr","8",30
"Graf Zeppelin","Teike","8",34
"Gräfin Mariza","???","11",95
"Grandioso","Herborg","4",163
"Grillenbanner","Lindmann","8",32
"Gruß an Böhmen","Vackor","3",31
"Gruß an Herzliebchen","Böhme","10",118
"Gruß an Kiel","Spohr","8",31
"Gruß aus Freudenburg","Leinen","8",36
"Gruß aus Ulm","Pfeiffer","8",36
"Halter's Liedersammlung","???","7b",233
"Hands across the sea","Sousa","9",100
"Happiness","Lange","5",208
"Heitere Ouvertüre","Höffer","5",187
"Herein spaziert","Zierer","6",207
"Hermanus Contractus","Bohne","4",158
"Highlights der Klassik","Schneider","15",14
"Hoch Heidecksburg","Herzer","8",37
"Hoch und Deutschmeister","Ertz","8",39
"Hochzeit der Winde","Hall","6",208
"Hochzeitsmarsch","Mendelssohn","8",38
"Holiday in Dixieland","Löffler","4c",165
"Holzschuhtanz","Lortzing","7b",234
"Hootenanny","Walters","7b",252
"Huldigungsmarsch","Grieg","9",102
"Hundert Mann und ein Befehl","Moore","8",40
"Im Reiche des Indra","Linke","5",188
"Im schönen Tal der Isar","Lüht","6",209
"Im tiefen Keller","Zettler","10",143
"Im weißen Rössl","Benatzki","11",95
"Im Zauberwald","Dörle","10b",139
"Imperial Echoes","Safroni","9",106
"In alter Frische","Himbeck","8",41
"In der Christnacht","Hannekamm","7b",235
"In der Waldschmiede","Eilenberg","7b",236
"In heilïger Nacht","Egidius","11",109
"In lauschiger Nacht","Zierer","6",210
"In Treue fest","Teike","9",98
"Indischer Brautzug","Siede","7b",237
"Instant Concert","Walters","7b",263
"Irma la douce","Monett","11",109
"Jahn Marsch","???","8",42
"Jamaican Folk Suite","Walters","7b",253
"James Bond 007","de Meij","15",28
"James Bond Selection","Kabec","15",10
"James Last in Concert","Watz","15",9
"Jauchzet dem Herren","???","4",161
"Kadetten Marsch","Lousan","8",19
"Kaiser Friedrich","Friedemann","8",50
"Kameradentreue","Bähre","8",47
"Katharinenpolka","Gäble","15",34
"Klarinettenscherze","Klesen","15",6
"Kleine Eröffnungsmusik","Haase/Altendorf","4",162
"Klingendes Land","Tanzer","5",201
"Koburger Marsch","???","8",45
"König Karl","Unrath","8",48
"König Lear","Arimont","4",164
"König Ludwig II","Seifert","9",128
"Krambambuli","Leemann","11",108
"Krönungsmarsch","Meyerbeer","8",49
"Künstlerleben","Strauss","6",211
"Kyffhäuser Turnermarsch","???","16",12
"La Morena","Bittmar","15",25
"La Storia","de Haan","4c",137
"La Tromba Espanola","Etzel","10",144
"Laetitia","Hartvig","5",205
"Laridah","Mempel","8",51
"Le Président","Jiskra","9",127
"Leuchtender Tag","Witze","4",163
"Llorando se fue","Gonzales","15",5
"Lothringer Marsch","Ganne","9",97
"Lunawalzer","Linke","6",222
"Lustspiel","Kela/Bela","5",190
"Managenzauber","Gatjens","4c",169
"Marche Triumphale","Gernet","8",58
"Marinarella","Fucik","5",191
"Mars der Medici","Wichers","9",93
"Marsch der Freundschaft","Jiskra","3",29
"Marschperlen","Welter","11",96
"Maske in blau","Raimons","11",97
"Mein Regiment","Blankenburg","3",30
"Mein Tiolerland","Tanzer","8",54
"Melody and Rhythms","Löffler","4c",170
"Memory","Welter","10",142
"Menuett aus der Es-Dur-Symphonie","Mozart","7b",238
"Meraner Herbstzauber","Hornot","9",125
"Mexico Life","Tuschla","7a",268
"Military Escort","Bennet","8",59
"Mimosa Walzer","Johnes","6",213
"Mit Eichenlaub und Schwerter","von Blon","8",55
"Mit frohem Spiel","???","8",52
"Modern Selection","Klein","4c",168
"Mohnblumen","Morett","7b",239
"Mondrakete","Löffler","8",56
"Morgen kommt der...","Herborg","11",117
"Murzel und Purzel","Löhr","10",119
"Musica Gloriosa","Boesendorfer","4",168
"Mussinan","Carl","8",53
"My Fair Lady","Löwe","4c",166
"Naar Hoger Doel","Wichers","3",27
"National Emblem","Bagley","9",90
"Neapolitanisches Ständchen","Winkler","7b",264
"Nechledil Marsch","Lehar","8",60
"Neues Europa","Lange","9",93
"Nibelungen","???","8",61
"Noch sind die der Rosen","Naumgartner","7b",240
"Norrköpping Hemvas Marsch","Ericsson","9",129
"O mein Papa","Busch","10",120
"Oh du mein schönes Böhmen","Rundel","15",7
"Oh Frühling wie bist du schön","Linke","6",214
"Orpheus in der Unterwelt","Offenbach","5",194
"Pacific Dreams","de Haan","15",31
"Pappenheimer","???","8",64
"Parade im Märchenwald","Noack","7b",241
"Parademarsch der 18er Husaren","Reckling","16",13
"Parademarsch der langen Kerls","Roland","8",63
"Paul-Abraham-Welterfolge","Löffler","11",124
"Per Aspera ad Astra","Urbach","8",62
"Pfeffer und Salz","Mosch","9",117
"Pique Dame","Suppé","5",195
"Polonaise in Es-Dur","Dvorak","4",169
"Pomp and Circumstance","Elgar","9",114
"Posaunenexpress","Tuschla","10",140
"Posaunistenglanz","Lange","10",133
"Posaunistenlaune","Lange","10",133
"Post im Walde","Schäffer","10",121
"Preludium","Bharpentier","4",164
"Priestermarsch","Mozart","4",158
"Pro Contra","Kolditz","10",137
"Prosit der Gemütlichkeit","Egidius","11",99
"Prost Stimmung","Studnitzky","6",224
"Puppenfee","???","11",98
"Puppenwalzer","Bayer","6",215
